group,page,path,slot_key,slot_label,type,section,required,baseline_status,priority,recommended_size,recommended_aspect,recommended_format,mobile_safe_area,recommended_use,current_source,current_source_dimensions,alt_snapshot
Shared site,Shared site,@site,site.header.logo,Header / Devil n Dove logo,image,header,Yes,authored_default,Complete/default,1080×1080,1:1,Transparent PNG or WebP,Keep the full mark inside the canvas with about 8% clear padding on every edge.,Brand/logo artwork; preserve transparent background and generous clear space.,/assets/logo-clear.png,1080×1080,Devil n Dove logo
Shared site,Shared site,@site,site.header.background,Header / navigation background,background,header,No,optional_enhancement,P3 optional,1920×480,4:1,WebP preferred,Keep important detail in the centre 70%; left/right edges may crop on narrow screens.,"Navigation/header background; decorative, low-detail image or texture.",,,
Shared site,Shared site,@site,site.page.background,Site-wide page background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Shared site,Shared site,@site,site.footer.background,Footer background,background,footer,No,optional_enhancement,P3 optional,1920×600,16:5,WebP preferred,Keep important detail in the centre 70%; expect horizontal and vertical cropping.,Footer background; decorative image or subtle texture that remains readable behind text.,,,
Core website,Home,/,home.hero.image,Home / Hero image,image,banner,Yes,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the main subject in the centre 70%; avoid critical detail at the outer 15%.,"Hero/banner image; strong subject, enough negative space for responsive cropping.",/assets/images/site/home-hero-products.webp,1600×1000,Devil n Dove handmade jewelry and mixed-media workshop collection
Core website,Home,/,home.image.2,Home / Representative Devil n Dove workshop workbench showing mixed creative materials and in-progress pieces,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/workshop-creative-paths.webp,1600×1000,Representative Devil n Dove workshop workbench showing mixed creative materials and in-progress pieces
Core website,Home,/,home.image.3,Home / Workshop process photo,image,content,No,authored_default,Complete/default,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/images/site/home-workshop-preview.webp,1600×1000,Workshop process photo
Core website,Home,/,home.section.visual.1,"Home / Made in our workshop, one step at a time visual",image,content,No,recommended_replacement,P2 recommended,1600×1000,8:5,WebP preferred (JPEG acceptable for photos),Keep the key subject in the centre 80%; avoid text baked into the image.,Content/section visual; landscape image designed to crop responsively.,/assets/placeholders/media-content/home-section-visual-1.svg,1200×720 SVG viewBox,"Placeholder for Made in our workshop, one step at a time"
Core website,Home,/,home.background.section-0,"Home / What we make, find, and experiment with background",background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Home,/,home.background.section-1,"Home / Made in our workshop, one step at a time background",background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
Core website,Home,/,home.background.section-2,Home / Workshop process photo background,background,background,No,optional_enhancement,P3 optional,1920×1200,8:5,WebP preferred,Keep important detail in the centre 65–70%; all edges may crop on mobile/desktop.,Section/page background; use a low-contrast image that can tolerate cover-cropping.,,,
